method,p,raw_avg_iterations,filtered_avg_iterations,filtered_std,num_outliers_removed
direct,0.0,18.0,18.0,0.0,0
direct,0.02,18.506666666666668,18.506666666666668,0.5131168374638362,0
direct,0.04,19.013333333333332,19.0,0.0,56
direct,0.06,19.233333333333334,19.233333333333334,0.6472162612982533,0
direct,0.08,19.406666666666666,19.406666666666666,0.6642957841872014,0
direct,0.1,19.546666666666667,19.546666666666667,0.5607930891950158,0
A0,0.0,18.0,18.0,0.0,0
A0,0.02,24.706666666666667,23.663716814159294,0.4724370907978456,37
A0,0.04,26.36,26.36,2.145631220255087,0
A0,0.06,27.02,27.02,1.8707217858356169,0
A0,0.08,27.74,27.74,1.698744634526724,0
A0,0.1,28.566666666666666,28.566666666666666,1.5293426329272615,0
OO,0.0,18.0,18.0,0.0,0
OO,0.02,18.7,18.7,0.458257569495584,0
OO,0.04,19.04,19.0,0.0,47
OO,0.06,19.413333333333334,19.37837837837838,0.6514578807131864,2
OO,0.08,19.733333333333334,19.687074829931973,0.6150352137303786,3
OO,0.1,19.94,20.0,0.0,53
