method,p,total,converged,not_converged,conv_rate(%),avg_iters
direct,0.0,150,150,0,100.0,18.0
direct,0.02,150,150,0,100.0,18.506666666666668
direct,0.04,150,150,0,100.0,19.013333333333332
direct,0.06,150,150,0,100.0,19.233333333333334
direct,0.08,150,150,0,100.0,19.406666666666666
direct,0.1,150,150,0,100.0,19.546666666666667
A0,0.0,150,150,0,100.0,18.0
A0,0.02,150,150,0,100.0,24.706666666666667
A0,0.04,150,150,0,100.0,26.36
A0,0.06,150,150,0,100.0,27.02
A0,0.08,150,150,0,100.0,27.74
A0,0.1,150,150,0,100.0,28.566666666666666
OO,0.0,150,150,0,100.0,18.0
OO,0.02,150,150,0,100.0,18.7
OO,0.04,150,150,0,100.0,19.04
OO,0.06,150,150,0,100.0,19.413333333333334
OO,0.08,150,150,0,100.0,19.733333333333334
OO,0.1,150,150,0,100.0,19.94
