method,p,total,converged,not_converged,conv_rate(%),avg_iters
direct,0.0,150,150,0,100.0,25.0
direct,0.02,150,150,0,100.0,37.486666666666665
direct,0.04,150,150,0,100.0,38.84
direct,0.06,150,150,0,100.0,39.42666666666667
direct,0.08,150,150,0,100.0,39.78
direct,0.1,150,150,0,100.0,39.9
A0,0.0,150,150,0,100.0,25.0
A0,0.02,150,150,0,100.0,72.19333333333333
A0,0.04,150,150,0,100.0,81.44
A0,0.06,150,150,0,100.0,86.94666666666667
A0,0.08,150,150,0,100.0,89.67333333333333
A0,0.1,150,150,0,100.0,94.52
OO,0.0,150,150,0,100.0,25.0
OO,0.02,150,150,0,100.0,38.86
OO,0.04,150,150,0,100.0,40.43333333333333
OO,0.06,150,150,0,100.0,41.053333333333335
OO,0.08,150,150,0,100.0,41.67333333333333
OO,0.1,150,150,0,100.0,42.21333333333333
