method,p,raw_avg_iterations,filtered_avg_iterations,filtered_std,num_outliers_removed
direct,0.0,25.0,25.0,0.0,0
direct,0.02,37.486666666666665,37.52348993288591,1.3188559849199062,1
direct,0.04,38.84,38.88590604026846,1.1558442182852242,1
direct,0.06,39.42666666666667,39.6,0.6845227743263393,10
direct,0.08,39.78,40.0,0.0,28
direct,0.1,39.9,40.0,0.0,25
A0,0.0,25.0,25.0,0.0,0
A0,0.02,72.19333333333333,70.2072072072072,2.8383382942102737,39
A0,0.04,81.44,81.44,8.82079361508929,0
A0,0.06,86.94666666666667,86.94666666666667,8.319284157239066,0
A0,0.08,89.67333333333333,89.67333333333333,8.181684151539677,0
A0,0.1,94.52,94.52,8.627645488003472,0
OO,0.0,25.0,25.0,0.0,0
OO,0.02,38.86,38.86,1.4967965793654125,0
OO,0.04,40.43333333333333,40.59574468085106,0.7987465659745296,9
OO,0.06,41.053333333333335,41.145833333333336,0.8076779989575052,6
OO,0.08,41.67333333333333,41.67333333333333,0.9831694778735872,0
OO,0.1,42.21333333333333,42.21333333333333,0.9422431863495869,0
