method,p,total,converged,not_converged,conv_rate(%),avg_iters
direct,0.0,150,150,0,100.0,25.0
direct,0.02,150,150,0,100.0,41.68
direct,0.04,150,150,0,100.0,42.4
direct,0.06,150,150,0,100.0,43.333333333333336
direct,0.08,150,150,0,100.0,43.9
direct,0.1,150,150,0,100.0,44.346666666666664
A0,0.0,150,150,0,100.0,25.0
A0,0.02,150,150,0,100.0,130.95333333333335
A0,0.04,150,150,0,100.0,144.22
A0,0.06,150,150,0,100.0,151.06666666666666
A0,0.08,150,150,0,100.0,155.18666666666667
A0,0.1,150,150,0,100.0,161.13333333333333
OO,0.0,150,150,0,100.0,25.0
OO,0.02,150,150,0,100.0,41.593333333333334
OO,0.04,150,150,0,100.0,42.5
OO,0.06,150,150,0,100.0,43.126666666666665
OO,0.08,150,150,0,100.0,43.34
OO,0.1,150,150,0,100.0,43.96666666666667
