method,p,raw_avg_iterations,filtered_avg_iterations,filtered_std,num_outliers_removed
direct,0.0,18.0,18.0,0.0,0
direct,0.02,17.993333333333332,18.0,0.0,1
direct,0.04,17.993333333333332,18.0,0.0,5
direct,0.06,18.106666666666666,18.0,0.0,18
direct,0.08,18.153333333333332,18.0,0.0,31
direct,0.1,18.253333333333334,18.253333333333334,0.44998765415163217,0
A0,0.0,18.0,18.0,0.0,0
A0,0.02,19.7,19.076271186440678,0.47222480392389937,32
A0,0.04,20.78,20.78,1.2103443036315464,0
A0,0.06,21.12,21.12,0.999466524368542,0
A0,0.08,21.393333333333334,21.393333333333334,1.0059600168771894,0
A0,0.1,21.786666666666665,22.0,0.0,46
OO,0.0,18.0,18.0,0.0,0
OO,0.02,18.026666666666667,18.0,0.0,4
OO,0.04,18.30666666666667,18.0,0.0,37
OO,0.06,18.546666666666667,18.546666666666667,0.6790843508398318,0
OO,0.08,18.946666666666665,18.946666666666665,0.7813378839457925,0
OO,0.1,19.226666666666667,19.226666666666667,0.7037676384211545,0
