method,p,total,converged,not_converged,conv_rate(%),avg_iters
direct,0.0,150,150,0,100.0,24.0
direct,0.02,150,150,0,100.0,33.22
direct,0.04,150,150,0,100.0,34.193333333333335
direct,0.06,150,150,0,100.0,34.77333333333333
direct,0.08,150,150,0,100.0,35.013333333333335
direct,0.1,150,150,0,100.0,35.306666666666665
A0,0.0,150,150,0,100.0,24.0
A0,0.02,150,16,134,10.666666666666668,180.125
A0,0.04,150,0,150,0.0,nan
A0,0.06,150,0,150,0.0,nan
A0,0.08,150,0,150,0.0,nan
A0,0.1,150,0,150,0.0,nan
OO,0.0,150,150,0,100.0,24.0
OO,0.02,150,150,0,100.0,69.76666666666667
OO,0.04,150,150,0,100.0,111.12666666666667
OO,0.06,150,150,0,100.0,132.31333333333333
OO,0.08,150,150,0,100.0,147.43333333333334
OO,0.1,150,150,0,100.0,157.28666666666666
