method,p,raw_avg_iterations,filtered_avg_iterations,filtered_std,num_outliers_removed
direct,0.0,24.0,24.0,0.0,0
direct,0.02,33.22,33.685483870967744,0.8832394141132289,26
direct,0.04,34.193333333333335,34.193333333333335,0.9500643253076195,0
direct,0.06,34.77333333333333,35.0,0.0,38
direct,0.08,35.013333333333335,35.0,0.0,35
direct,0.1,35.306666666666665,35.38620689655173,0.48687896813028386,5
A0,0.0,24.0,24.0,0.0,0
A0,0.02,180.125,180.125,9.373333185158842,0
A0,0.04,nan,nan,nan,0
A0,0.06,nan,nan,nan,0
A0,0.08,nan,nan,nan,0
A0,0.1,nan,nan,nan,0
OO,0.0,24.0,24.0,0.0,0
OO,0.02,69.76666666666667,69.97278911564626,12.609221103886007,3
OO,0.04,111.12666666666667,111.56164383561644,11.39933463736006,4
OO,0.06,132.31333333333333,132.31333333333333,9.44467163125443,0
OO,0.08,147.43333333333334,147.61073825503357,7.3536836492582935,1
OO,0.1,157.28666666666666,157.28666666666666,6.4460185816948705,0
