method,p,raw_avg_iterations,filtered_avg_iterations,filtered_std,num_outliers_removed
direct,0.0,24.0,24.0,0.0,0
direct,0.02,30.573333333333334,31.0,0.0,36
direct,0.04,31.093333333333334,31.0,0.0,9
direct,0.06,31.68,31.68,1.0540082226118226,0
direct,0.08,32.21333333333333,32.21333333333333,1.1808847906925082,0
direct,0.1,32.71333333333333,32.71333333333333,1.145057009740369,0
A0,0.0,24.0,24.0,0.0,0
A0,0.02,45.3,44.02173913043478,0.1458305202717254,58
A0,0.04,48.77333333333333,48.77333333333333,4.669256424266669,0
A0,0.06,50.053333333333335,50.053333333333335,4.585174175778083,0
A0,0.08,52.0,52.0,4.9017003852404795,0
A0,0.1,54.54,55.522935779816514,2.352419524602059,41
OO,0.0,24.0,24.0,0.0,0
OO,0.02,31.706666666666667,31.743055555555557,0.8877759960349246,6
OO,0.04,33.21333333333333,33.21333333333333,1.0806582356241137,0
OO,0.06,34.25333333333333,34.25333333333333,1.0468152760741611,0
OO,0.08,35.153333333333336,35.29577464788732,0.5908782243212121,8
OO,0.1,35.76,36.0,0.0,36
