p,n_samples,rmse_abs_oo,rmse_abs_a0,rmse_rel_oo,rmse_rel_a0
0.0,100,0.0,0.0,0.0,0.0
0.02,100,55.3127665775181,235.6105096107192,0.01985225991774515,0.0846141097378434
0.04,100,116.61935185577029,337.69275172429775,0.041385603287587405,0.11991896264517955
0.06,100,176.48103244483042,418.65723048870547,0.061968226384355535,0.14707105113035893
0.08,100,235.8477313011894,483.69155669439704,0.08189900298589274,0.16807784122530947
0.1,100,298.7645914868581,545.7979748402344,0.10259100732194924,0.18755687935118381
